Timestamp (UTC),Value (mm)
1995-12-12 16:00:00,487
1995-12-13 16:00:00,495
1995-12-14 16:00:00,499
1995-12-15 16:00:00,503
1995-12-16 16:00:00,503
1995-12-17 16:00:00,503
1995-12-18 16:00:00,506
1995-12-19 16:00:00,510
1995-12-20 16:00:00,510
1995-12-21 16:00:00,510
1995-12-22 16:00:00,510
1995-12-23 16:00:00,510
1995-12-24 16:00:00,510
1995-12-25 16:00:00,510
1995-12-26 16:00:00,510
1995-12-27 16:00:00,510
1995-12-28 16:00:00,510
1995-12-29 16:00:00,510
1995-12-30 16:00:00,503
1995-12-31 16:00:00,503
1996-01-01 16:00:00,510
1996-01-02 16:00:00,529
1996-01-03 16:00:00,536
1996-01-04 16:00:00,536
1996-01-05 16:00:00,536
1996-01-06 16:00:00,540
1996-01-07 16:00:00,544
1996-01-08 16:00:00,548
1996-01-09 16:00:00,548
1996-01-10 16:00:00,551
1996-01-11 16:00:00,555
1996-01-12 16:00:00,566
1996-01-13 16:00:00,589
1996-01-14 16:00:00,615
1996-01-15 16:00:00,634
1996-01-16 16:00:00,630
1996-01-17 16:00:00,634
1996-01-18 16:00:00,638
1996-01-19 16:00:00,634
1996-01-20 16:00:00,634
1996-01-21 16:00:00,634
1996-01-22 16:00:00,638
1996-01-23 16:00:00,638
1996-01-24 16:00:00,638
1996-01-25 16:00:00,634
1996-01-26 16:00:00,638
1996-01-27 16:00:00,638
1996-01-28 16:00:00,634
1996-01-29 16:00:00,634
1996-01-30 16:00:00,634
1996-01-31 16:00:00,634
1996-02-01 16:00:00,634
1996-02-02 16:00:00,630
1996-02-03 16:00:00,630
1996-02-04 16:00:00,634
1996-02-05 16:00:00,645
1996-02-06 16:00:00,656
1996-02-07 16:00:00,664
1996-02-08 16:00:00,671
1996-02-09 16:00:00,668
1996-02-10 16:00:00,671
1996-02-11 16:00:00,675
1996-02-12 16:00:00,679
1996-02-13 16:00:00,675
1996-02-14 16:00:00,671
1996-02-15 16:00:00,675
1996-02-16 16:00:00,675
1996-02-17 16:00:00,679
1996-02-18 16:00:00,683
1996-02-19 16:00:00,683
1996-02-20 16:00:00,686
1996-02-21 16:00:00,701
1996-02-22 16:00:00,713
1996-02-23 16:00:00,709
1996-02-24 16:00:00,713
1996-02-25 16:00:00,720
1996-02-26 16:00:00,713
1996-02-27 16:00:00,713
1996-02-28 16:00:00,716
1996-02-29 16:00:00,716
1996-03-01 16:00:00,720
1996-03-02 16:00:00,724
1996-03-03 16:00:00,731
1996-03-04 16:00:00,731
1996-03-05 16:00:00,728
1996-03-06 16:00:00,728
1996-03-07 16:00:00,728
1996-03-08 16:00:00,735
1996-03-09 16:00:00,731
1996-03-10 16:00:00,731
1996-03-11 16:00:00,735
1996-03-12 16:00:00,728
1996-03-13 16:00:00,731
1996-03-14 16:00:00,746
1996-03-15 16:00:00,743
1996-03-16 16:00:00,743
1996-03-17 16:00:00,743
1996-03-18 16:00:00,754
1996-03-19 16:00:00,750
1996-03-20 16:00:00,758
1996-03-21 16:00:00,761
1996-03-22 16:00:00,761
1996-03-23 16:00:00,761
1996-03-24 16:00:00,769
1996-03-25 16:00:00,773
1996-03-26 16:00:00,769
1996-03-27 16:00:00,776
1996-03-28 16:00:00,773
1996-03-29 16:00:00,776
1996-03-30 16:00:00,780
1996-03-31 16:00:00,795
1996-04-01 16:00:00,799
1996-04-02 16:00:00,795
1996-04-03 16:00:00,795
1996-04-04 16:00:00,799
1996-04-05 16:00:00,803
1996-04-06 16:00:00,806
1996-04-07 16:00:00,806
1996-04-08 16:00:00,806
1996-04-09 16:00:00,806
1996-04-10 16:00:00,810
1996-04-11 16:00:00,818
1996-04-12 16:00:00,821
1996-04-13 16:00:00,829
1996-04-14 16:00:00,836
1996-04-15 16:00:00,848
1996-04-16 16:00:00,844
1996-04-17 16:00:00,848
1996-04-18 16:00:00,848
1996-04-19 16:00:00,859
1996-04-20 16:00:00,859
1996-04-21 16:00:00,866
1996-04-22 16:00:00,870
1996-04-23 16:00:00,904
1996-04-24 16:00:00,908
1996-04-25 16:00:00,919
1996-04-26 16:00:00,923
1996-04-27 16:00:00,923
1996-04-28 16:00:00,930
1996-04-29 16:00:00,930
1996-04-30 16:00:00,930
1996-05-01 16:00:00,934
1996-05-02 16:00:00,945
1996-05-03 16:00:00,949
1996-05-04 16:00:00,953
1996-05-05 16:00:00,953
1996-05-06 16:00:00,968
1996-05-07 16:00:00,990
1996-05-08 16:00:00,994
1996-05-09 16:00:00,1009.0000000000001
1996-05-10 16:00:00,1016
1996-05-11 16:00:00,1024
1996-05-12 16:00:00,1035
1996-05-13 16:00:00,1035
1996-05-14 16:00:00,1028
1996-05-15 16:00:00,1035
1996-05-16 16:00:00,1035
1996-05-17 16:00:00,1035
1996-05-18 16:00:00,1035
1996-05-19 16:00:00,1035
1996-05-20 16:00:00,1039
1996-05-21 16:00:00,1039
1996-05-22 16:00:00,1028
1996-05-23 16:00:00,1028
1996-05-24 16:00:00,1028
1996-05-25 16:00:00,1020
1996-05-26 16:00:00,1001.0000000000001
1996-05-27 16:00:00,994
1996-05-28 16:00:00,986
1996-05-29 16:00:00,979
1996-05-30 16:00:00,979
1996-05-31 16:00:00,971
1996-06-01 16:00:00,971
1996-06-02 16:00:00,971
1996-06-03 16:00:00,964
1996-06-04 16:00:00,941
1996-06-05 16:00:00,919
1996-06-06 16:00:00,908
1996-06-07 16:00:00,877
1996-06-08 16:00:00,844
1996-06-09 16:00:00,814
1996-06-10 16:00:00,787
1996-06-11 16:00:00,773
1996-06-12 16:00:00,758
1996-06-13 16:00:00,735
1996-06-14 16:00:00,713
1996-06-15 16:00:00,683
1996-06-16 16:00:00,664
1996-06-17 16:00:00,671
1996-06-18 16:00:00,683
1996-06-19 16:00:00,690
1996-06-20 16:00:00,683
1996-06-21 16:00:00,683
1996-06-22 16:00:00,675
1996-06-23 16:00:00,668
1996-06-24 16:00:00,664
1996-06-25 16:00:00,656
1996-06-26 16:00:00,638
1996-06-27 16:00:00,619
1996-06-28 16:00:00,593
1996-06-29 16:00:00,570
1996-06-30 16:00:00,544
1996-07-01 16:00:00,518
1996-07-02 16:00:00,495
1996-07-03 16:00:00,450
1996-07-04 16:00:00,424
1996-07-05 16:00:00,413
1996-07-06 16:00:00,394
1996-07-07 16:00:00,360
1996-07-08 16:00:00,323
1996-07-09 16:00:00,281
1996-07-10 16:00:00,263
1996-07-11 16:00:00,229
1996-07-12 16:00:00,191
1996-07-13 16:00:00,150
1996-07-14 16:00:00,105
1996-07-15 16:00:00,56
1996-07-16 16:00:00,26
1996-07-17 16:00:00,0
1996-07-18 16:00:00,0
1996-07-19 16:00:00,0
1996-07-20 16:00:00,0
1996-07-21 16:00:00,0
1996-07-22 16:00:00,0
1996-07-23 16:00:00,0
1996-07-24 16:00:00,0
1996-07-25 16:00:00,0
1996-07-26 16:00:00,0
1996-07-27 16:00:00,0
1996-07-28 16:00:00,0
1996-07-29 16:00:00,0
1996-07-30 16:00:00,0
1996-07-31 16:00:00,0
1996-08-01 16:00:00,0
1996-08-02 16:00:00,0
1996-08-03 16:00:00,0
1996-08-04 16:00:00,0
1996-08-05 16:00:00,0
1996-08-06 16:00:00,0
1996-08-07 16:00:00,0
1996-08-08 16:00:00,0
1996-08-09 16:00:00,0
1996-08-10 16:00:00,0
1996-08-11 16:00:00,0
1996-08-12 16:00:00,0
1996-08-13 16:00:00,0
1996-08-14 16:00:00,0
1996-08-15 16:00:00,0
1996-08-16 16:00:00,0
1996-08-17 16:00:00,0
1996-08-18 16:00:00,0
1996-08-19 16:00:00,0
1996-08-20 16:00:00,0
1996-08-21 16:00:00,0
1996-08-22 16:00:00,0
1996-08-23 16:00:00,0
